,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
26,139.8648589849472,5.094677347441239,0.9514989256858826,0.053454510739837854,entropy,750,"OrderedDict([('criterion', 'entropy'), ('n_estimators', 750)])",0.9006913421840864,0.894667891633604,0.8965921028429895,0.8983303173505018,0.8975704135027955,0.002219198877956177,1
14,100.91300988197327,4.039049418869405,0.7721298933029175,0.05706127326917574,gini,600,"OrderedDict([('criterion', 'gini'), ('n_estimators', 600)])",0.8992030204462604,0.8951281139420637,0.8930883277852425,0.9005383984266396,0.8969894651500516,0.0030074181414311073,2
24,150.20135843753815,5.318117638369671,0.9872490763664246,0.06648020439498742,gini,800,"OrderedDict([('criterion', 'gini'), ('n_estimators', 800)])",0.8979470350437042,0.8953679699092789,0.8960614276235739,0.8985596387619635,0.8969840178346301,0.0013107981391305653,3
25,111.27811926603317,4.741518276955926,0.7195010781288147,0.0338922837223045,entropy,600,"OrderedDict([('criterion', 'entropy'), ('n_estimators', 600)])",0.8969986946095319,0.89513744546475,0.892585965961557,0.9030058184959024,0.8969319811329354,0.0038407081747372585,4
22,184.32406425476074,6.6147145014243245,1.2659995555877686,0.054056231441261066,entropy,1000,"OrderedDict([('criterion', 'entropy'), ('n_estimators', 1000)])",0.8969935163647313,0.8958852641291901,0.8943627492645677,0.8995566977532746,0.896699556877941,0.0018956139285178737,5
16,184.27629417181015,4.481206624521102,1.3408908247947693,0.039485195104175856,log_loss,1000,"OrderedDict([('criterion', 'log_loss'), ('n_estimators', 1000)])",0.897506507228248,0.8939167479897743,0.8933783180896046,0.9017707230764422,0.8966430740960173,0.0033589353469245646,6
21,110.86942970752716,3.6737003670576547,0.7507500648498535,0.008259092368343497,log_loss,600,"OrderedDict([('criterion', 'log_loss'), ('n_estimators', 600)])",0.9006761546339479,0.8934197474727601,0.894593507002681,0.8973427305138622,0.8965080349058128,0.0027961077942019377,7
10,150.68917191028595,5.565753780012699,1.0913232564926147,0.014539543212759406,entropy,800,"OrderedDict([('criterion', 'entropy'), ('n_estimators', 800)])",0.898969431907403,0.8936873610522001,0.8926378023108948,0.9005353898753685,0.8964574962864666,0.003361649445186097,8
3,140.37584626674652,5.198862247813923,1.0447065234184265,0.01589411699740441,log_loss,750,"OrderedDict([('criterion', 'log_loss'), ('n_estimators', 750)])",0.8991543181306481,0.8936978441986742,0.8928445589939759,0.9000399513819853,0.8964341681763208,0.003192712455456101,9
27,139.36783981323242,4.577750608665489,0.9627498388290405,0.09073998796737574,gini,750,"OrderedDict([('criterion', 'gini'), ('n_estimators', 750)])",0.8989744520710666,0.8963439858891412,0.8930931881694705,0.8971010280165518,0.8963781635365575,0.002124586929547272,10
5,91.88153475522995,3.4754284468040892,0.6296082139015198,0.03292017460237095,log_loss,500,"OrderedDict([('criterion', 'log_loss'), ('n_estimators', 500)])",0.8996747727597502,0.8936609236139297,0.8923804875087368,0.8985779186981392,0.896073525645139,0.003110472013309531,11
19,164.94542372226715,5.916821539986466,1.1260007619857788,0.04106679085738778,entropy,900,"OrderedDict([('criterion', 'entropy'), ('n_estimators', 900)])",0.8982175206134392,0.8934237168851948,0.8918742300654717,0.9000490258771455,0.8958911233603127,0.003351261104958515,12
18,128.7869164943695,4.666701643803365,0.851250171661377,0.04157255284944502,gini,700,"OrderedDict([('criterion', 'gini'), ('n_estimators', 700)])",0.8987102705298496,0.8961042198455808,0.8921034803458178,0.8961104008861782,0.8957570929018566,0.002361962449900924,13
28,92.28964215517044,3.375900489625197,0.6389999985694885,0.02390402683713409,entropy,500,"OrderedDict([('criterion', 'entropy'), ('n_estimators', 500)])",0.8962970333370804,0.8909749405217492,0.8963316116144942,0.8985863295719888,0.8955474787613281,0.002798187654326913,14
8,100.72550523281097,3.451877443244073,0.7336136698722839,0.0206464447817764,entropy,550,"OrderedDict([('criterion', 'entropy'), ('n_estimators', 550)])",0.8979789370867716,0.8956439890693768,0.8909127683962926,0.8973457081459436,0.8954703506745961,0.002766391058235358,15
